,Unnamed: 0,Star_name,Distance,Mass,Radius,Unnamed: 6,Star_name.1,Distance.1,Mass.1,Radius.1
0,0,Sun,0.000015813,1,1,0,SDSS J000013.54+255418.6 [de],46.1,48.0,0.99
1,1,Sirius,0008.6,2.1,1.71´,1,2MASS J00040288-6410358,192.0,19.0,1.63
2,3,Alpha Centauri,0004.4,1.1,1.2,3,2MASS J00242463-0158201,37.7,79.0,1.09
3,5,Vega,0025,2.2,2.7,5,2MASS J00274197+0503417,236.0,31.0,1.44
4,7,Rigel,0860,23,78.9,7,2MASSW J0030300-145033,87.2,54.0,0.98
5,8,Procyon,0011.4,1.5,1.9,8,2MASS J00332386-1521309 [de],131.0,29.0,1.43
6,9,Betelgeuse,0640[1],20,950,9,2MASS J00345157+0523050,31.0,42.0,0.94
7,10,Achernar,0144,6.7,9.3,10,2MASS 0036+1821,28.6,42.0,0.94
8,11,Hadar,0390,10.5,8.6,11,2MASSW J0045214+163445,57.0,23.0,1.62
9,12,Altair,0017,1.8,1.8,12,WISEP J004701.06+680352.1 [fr],40.0,12.0,1.3
10,13,Acrux,0320,18,8.9,13,2MASS J00501994-3322402 [de],34.0,40.0,0.94
11,15,Antares,0600,12,680,15,2MASS J00584253-0651239 [de],96.0,29.0,1.43
12,17,Pollux,0034,1.9,8.8,17,2MASSI J0103320+193536,70.0,52.0,0.98
13,18,Fomalhaut,0025,1.9,1.8,18,SDSSp J010752.33+004156.1 [de],51.0,52.0,0.98
14,19,Deneb,"2,600",19,203,19,2MASSI J0117474-340325 [de],163.0,20.0,1.62
15,20,Mimosa,0350,16,8.4,20,2MASS J01415823-4633574 [de],130.0,20.0,1.61
16,21,Regulus,0077,3.8,3.1,21,SDSS J015141.69+124429.6,70.0,47.0,0.97
17,25,Gacrux,0088,1.5,84,25,SDSS J020742.48+000056.2 [de],111.0,47.0,0.97
18,26,Bellatrix,0240,8.6,5.8,26,2MASS J02103857-3015313,101.0,15.0,1.53
19,27,Elnath,0130,5.0,4.2,27,2MASS J02340093-6442068,155.0,20.0,1.62
20,28,Miaplacidus,0110,3.5,6.8,28,2MASS J02411151-0326587 [de],152.0,27.0,1.41
21,29,Alnilam,"2,000",32,42,29,2MASS J02431371−2453298,35.0,33.0,0.99
22,30,Gamma Velorum,"01,100",9.0,6,30,LP 771-21,53.0,78.0,1.08
23,32,Alioth,0081,2.9,4.2,32,Teegarden's star,12.578,80.0,1.27
24,33,Alnitak,01050,33,20,33,2MASS J02535980+3206373,184.0,65.0,1.9
25,34,Dubhe,0120,4.25,30,34,WISE J0254+0223,24.0,65.0,1.9
26,35,Mirfak,0590,8.5,68,35,DEN 0255-4700,16.2,80.0,0.97
27,36,Wezen,"1,600",17,200,36,2MASS J03185403-3421292 [de],45.0,49.0,0.97
28,37,Sargas,0270,5.7,26,37,2MASS J03205965+1854233,47.0,88.0,1.15
29,38,Kaus Australis,0140,3.5,6.8,38,2MASS J03231002-4631237,192.0,23.0,1.66
30,39,Avior,0630,9.0,130,39,SDSS J032553.17+042540.1,59.0,45.0,0.95
31,40,Alkaid,0104,6.1,3.4,40,2MASS J03264225-2102057 [de],80.0,18.0,1.3
32,41,Menkalinan,081,2.39,2.77,41,2MASS J03284265+2302051 [de],98.0,54.0,0.98
33,42,Atria,0390,7,92,42,2MASS J03341218-4953322,27.0,73.0,1.04
34,43,Alhena,0109,2.8,3.3,43,LP 944-20,20.9,73.0,1.43
35,44,Peacock,0180,5.9,4.8,44,2MASP J0345432+254023,88.0,74.0,1.05
36,45,Alsephina[2],0080,2.4,2.9,45,Teide 1,380.0,55.0,3.78
37,46,Mirzam,0500,13.5,10,46,2MASS J03510004-0052452,48.0,102.0,1.27
38,47,Polaris,0430,5.4,39,47,2MASS J03552337+1133437,29.8,20.0,1.32
39,49,Scheat,0196,2.1,95,49,2MASS J04151954−0935066,18.6,30.0,0.95
40,51,Rasalgethi,0360,2.8,280,51,2MASS J04285096-2253227 [de],85.0,80.0,1.09
41,52,Tau Ceti,011.9,0.783,0.893,52,2MASS J04351612-1606574,34.0,100.0,1.26
42,53,Delta Pavonis,019.92,0.991,1.22,53,2MASS J04362788-4114465,142.0,39.0,1.97
43,54,Ran,010.48,0.82,0.74,54,2MASS J04390101-2353083 [de],29.5,48.0,0.97
44,56,Eta Carinae,"07,500",100,60–881,56,2MASS J04433764+0002040,82.0,22.0,1.78
45,57,Delta Cephei,0887,4.5,44.5,57,2MASS J04455387-3048204 [de],42.0,64.0,1.0
46,58,Mu Cephei,"06,000",19.2,972,58,2MASS J04510093-3402150 [de],69.0,1.04,72.0
47,59,Titawin,044.25,1.27,1.48,59,2MASS J05002100+0330501 [de],44.0,64.0,1.0
48,60,Rho Cassiopeiae,"08,154",22,636-981,60,2MASS J05012406-0010452 [de],64.0,21.0,1.38
49,61,P Cygni,"05,545",30,76,61,2MASS J05160945-0445499 [de],73.0,47.0,0.97
50,64,61 Cygni,011.41,0.7,0.665,64,SDSS J053951.99-005902.0,41.62,61.0,1.01
51,66,Polaris Australis,0281,1.59,3.74,66,LSR 0602+3910 [de],34.6,28.0,1.41
52,67,R Coronae Borealis,"04,566",0.85,85,67,2MASS J06085283-2753583,102.0,38.0,1.51
53,70,RW Cephei,"014,000",13.9,"1,158",70,2MASS J06244595-4521548 [de],39.0,56.0,0.99
54,71,Lacaille 8760,012.87,0.6,0.51,71,2MASS J06411840-4322329 [de],65.0,67.0,1.01
55,72,V838 Monocerotis,"019,896",?,380 - 750,72,DENIS-P J0652197-253450 [de],51.0,75.0,1.05
